game,avg_rating,rating_count
R.B.I. Baseball 15,21.0,1
Triple Town,21.0,1
Adventurer Manager,21.0,1
Sweet Lily Dreams,21.0,1
Pat & Mat,21.0,1
3DMark Vantage,21.0,1
Tryst,21.0,1
Duck Game,20.883333333333333,6
Batman Arkham City,20.88076923076923,26
Call of Duty 4 Modern Warfare,20.864150943396226,53
Mass Effect,20.83859649122807,57
War Thunder,20.813488372093023,215
Knights of Honor,20.8,4
Risen 2 - Dark Waters,20.628,25
Test Drive Unlimited 2,20.558823529411764,17
Divinity II - The Dragon Knight Saga,20.55,2
DarkStar One,20.55,2
Age of Conan Unchained - EU version,20.52857142857143,7
ShootMania Storm,20.5,2
Spore Galactic Adventures,20.45,14
Vampire The Masquerade - Bloodlines,20.400000000000002,24
Deponia The Complete Journey,20.400000000000002,6
Grand Theft Auto Episodes from Liberty City,20.357142857142858,49
MLB 2K12,20.35,2
Farming Simulator 2013,20.259090909090908,22
Train Simulator,20.25135135135135,37
DYNASTY WARRIORS 8 Xtreme Legends Complete Edition,20.114285714285717,7
Demigod,20.099999999999998,7
Prison Architect,20.089473684210525,76
Section 8,20.05,2
Zack Zero,20.0,1
The Curious Expedition,20.0,1
Grim Dawn,19.963636363636365,11
Batman Arkham Knight,19.942857142857143,21
Torchlight II,19.901156069364163,173
Stardust Vanguards,19.9,1
Drakensang,19.9,1
Darkest Hour Europe '44-'45,19.880000000000003,5
Grand Theft Auto IV,19.75,186
Squirreltopia,19.7,1
Windward,19.68,5
Left 4 Dead 2,19.637251908396944,655
Warhammer End Times - Vermintide,19.5875,16
Farming Simulator 2011,19.575,4
Hydrophobia Prophecy,19.56,5
Magic The Gathering - Duels of the Planeswalkers 2013,19.546666666666667,15
Tropico 3 - Steam Special Edition,19.541176470588233,17
The Sims(TM) 3,19.514285714285716,35
Supreme Ruler 2020 Gold,19.5,2
Tropico 5,19.457575757575757,33
Darksiders II,19.38909090909091,55
Darkest Dungeon,19.3875,32
L.A. Noire,19.346551724137928,58
Time Clickers,19.33125,16
Dragon Age Origins - Ultimate Edition,19.313953488372093,43
Kingdom Wars,19.311111111111114,9
Saints Row IV,19.298347107438016,121
Xenonauts,19.288888888888888,9
Counter-Strike,19.24691780821918,292
Clicker Heroes,19.223,100
Company of Heroes (New Steam Version),19.222448979591835,49
Guns and Robots,19.2,8
Perpetuum,19.2,2
Mad Games Tycoon,19.2,2
Super Panda Adventures,19.2,1
Awesomenauts,19.182352941176468,51
The Dark Eye Chains of Satinav,19.1,1
Puzzler World 2,19.1,1
EverQuest II,19.080000000000002,5
Tales of Maj'Eyal,19.075,4
PROTOTYPE 2,19.04090909090909,22
Command and Conquer Red Alert 3 - Uprising,19.027272727272727,11
Battlestations Pacific,19.025,8
Prince of Persia The Forgotten Sands,19.02,5
Might & Magic Heroes VI,18.953846153846154,26
Battlefield 2,18.919999999999998,10
F1 2015,18.900000000000002,6
Mortal Kombat X,18.896774193548385,31
Rampage Knights,18.866666666666667,6
Tom Clancy's Splinter Cell Blacklist,18.854545454545455,33
Call of Duty Modern Warfare 3,18.84689265536723,177
GRID 2,18.832,50
Tom Clancy's Ghost Recon Future Soldier,18.80909090909091,11
Dishonored,18.8008,125
The Last Remnant,18.78235294117647,17
Assetto Corsa,18.779999999999998,15
Eufloria HD,18.7,1
Fallen Enchantress Legendary Heroes,18.66,10
Call of Duty Modern Warfare 2,18.636293436293435,259
Lost Horizon,18.633333333333333,3
Mystery PI The Vegas Heist,18.6,1
Darkstone,18.6,1
Batman Arkham City GOTY,18.587500000000002,96
London 2012 The Official Video Game of the Olympic Games,18.549999999999997,2
LEGO Batman The Videogame,18.525,4
F1 2010,18.516666666666666,6
SEGA Genesis & Mega Drive Classics,18.5,6
Killing Floor,18.48355263157895,152
Call of Duty Advanced Warfare - Multiplayer,18.481818181818184,44
The Legend of Heroes Trails in the Sky,18.47142857142857,7
The Witcher 2 Assassins of Kings Enhanced Edition,18.386885245901638,122
Stronghold Crusader Extreme HD,18.35,2
Wings of Prey,18.344444444444445,9
Two Worlds II,18.322727272727274,22
Cosmonautica,18.3,2
Evil Genius,18.272727272727273,11
FarSky,18.25,2
Shadowrun Dragonfall - Director's Cut,18.246153846153845,13
NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst,18.24375,32
Omerta - City of Gangsters,18.2375,16
Star Wars Knights of the Old Republic,18.21791044776119,67
LEGO The Hobbit,18.214285714285715,7
